customerID,tenure,PhoneService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn,TotalServiceCost,LogTotalServiceCost
7590-VHVEG,1,0,0,2,29.85,29.85,0,29.85,3.4291367503513968
5575-GNVDE,34,1,1,3,56.95,1889.5,0,1936.3000000000002,7.5690505300929
3668-QPYBK,2,1,0,3,53.85,108.15,1,107.7,4.688591794127164
7795-CFOCW,45,0,1,0,42.3,1840.75,0,1903.4999999999998,7.551974785918659
9237-HQITU,2,1,0,2,70.7,151.65,1,141.4,4.958639998977875
9305-CDSKC,8,1,0,2,99.65,820.5,1,797.2,6.6823591926146335
1452-KIOVK,22,1,0,1,89.1,1949.4,0,1960.1999999999998,7.581311809777078
6713-OKOMC,10,0,0,3,29.75,301.9,0,297.5,5.698769932832657
7892-POOKP,28,1,0,2,104.8,3046.05,1,2934.4,7.984599009177098
6388-TABGU,62,1,1,0,56.15,3487.95,0,3481.2999999999997,8.155448273997616
9763-GRSKD,13,1,0,3,49.95,587.45,0,649.35,6.4775106795097495
7469-LKBCI,16,1,2,1,18.95,326.8,0,303.2,5.717685379825192
8091-TTVAX,58,1,1,1,100.35,5681.1,0,5820.299999999999,8.669278883480228
0280-XJGEX,49,1,0,0,103.7,5036.3,1,5081.3,8.53351919401501
5129-JLPIS,25,1,0,2,105.5,2686.05,0,2637.5,7.877965852845723
3655-SNQYZ,69,1,2,1,113.25,7895.15,0,7814.25,8.96383223210719
8191-XWSZG,52,1,1,3,20.65,1022.95,0,1073.8,6.979889876741336
9959-WOFKT,71,1,2,0,106.7,7382.25,0,7575.7,8.932833027640864
4190-MFLUW,10,1,0,1,55.2,528.35,1,552.0,6.315358001522335
4183-MYFRB,21,1,0,2,90.05,1862.9,0,1891.05,7.545416176323946
8779-QRDMV,1,0,0,2,39.65,39.65,1,39.65,3.7049988359938197
1680-VDCWW,12,1,1,0,19.8,202.25,0,237.60000000000002,5.474788509663816
1066-JKSGK,1,1,0,3,20.15,20.15,1,20.15,3.0516399054922867
3638-WEABW,58,1,2,1,59.9,3505.1,0,3474.2,8.153407310299562
6322-HRPFA,49,1,0,1,59.6,2970.3,0,2920.4,7.979818232416711
6865-JZNKO,30,1,0,0,55.3,1530.6,0,1659.0,7.414572881350589
6467-CHFZW,47,1,0,2,99.35,4749.15,1,4669.45,8.449010705763682
8665-UTDHZ,1,0,0,2,30.2,30.2,1,30.2,3.4404180948154366
5248-YGIJN,72,1,2,1,90.25,6369.45,0,6498.0,8.77940359789435
8773-HHUOZ,17,1,0,3,64.7,1093.1,1,1099.9,7.003883306076357
3841-NFECX,71,1,2,1,96.35,6766.95,0,6840.849999999999,8.830813441883022
4929-XIHVW,2,1,0,1,95.5,181.65,0,191.0,5.2574953720277815
6827-IEAUQ,27,1,1,3,66.15,1874.45,0,1786.0500000000002,7.488321494622504
7310-EGVHZ,1,1,0,0,20.2,20.2,0,20.2,3.054001181677967
3413-BMNZE,1,1,0,0,45.25,45.25,0,45.25,3.834061463958434
6234-RAAPL,72,1,2,0,99.9,7251.7,0,7192.8,8.880974822923884
6047-YHPVI,5,1,0,2,69.7,316.9,1,348.5,5.856503561673865
6572-ADKRS,46,1,0,1,74.8,3548.3,0,3440.7999999999997,8.14374986933081
5380-WJKOV,34,1,0,2,106.35,3549.25,1,3615.8999999999996,8.193372584348452
8168-UQWWF,11,1,0,0,97.85,1105.4,1,1076.35,6.9822596011502425
8865-TNMNX,10,1,1,3,49.55,475.7,0,495.5,6.2075834834852275
9489-DEDVP,70,1,2,1,69.2,4872.35,0,4844.0,8.485702524324866
9867-JCZSP,17,1,1,3,20.75,418.25,0,352.75,5.868590448957447
4671-VJLCL,63,1,2,1,79.85,4861.45,0,5030.549999999999,8.523483366718427
4080-IIARD,13,1,0,2,76.2,981.45,0,990.6,6.899319800161035
3714-NTNFO,49,1,0,2,84.5,3906.7,0,4140.5,8.32881332003832
5948-UJZLF,2,1,0,3,49.25,97.0,0,98.5,4.600157644164547
7760-OYPDY,2,1,0,2,80.65,144.15,1,161.3,5.089446474520545
7639-LIAYI,52,1,2,1,79.75,4217.8,0,4147.0,8.330381569349418
2954-PIBKO,69,1,2,1,64.15,4254.1,0,4426.35,8.395556489918762
8012-SOUDQ,43,1,0,2,90.25,3838.75,0,3880.75,8.26404136186128
9420-LOJKX,15,1,0,1,99.1,1426.4,1,1486.5,7.304852137419785
6575-SUVOI,25,1,0,1,69.5,1752.65,0,1737.5,7.460777951447916
7495-OOKFY,8,1,0,1,80.65,633.3,1,645.2,6.471109053390398
4667-QONEA,60,1,1,1,74.85,4456.35,0,4491.0,8.410053315858335
1658-BYGOY,18,1,0,2,95.45,1752.55,1,1718.1000000000001,7.449556177047448
8769-KKTPH,63,1,1,1,99.65,6311.2,0,6277.950000000001,8.744958048030963
5067-XJQFU,66,1,1,2,108.45,7076.35,0,7157.7,8.876083679224099
3957-SQXML,34,1,2,1,24.95,894.3,0,848.3,6.744412480785964
5954-BDFSG,72,1,2,1,107.5,7853.7,0,7740.0,8.954286157204713
0434-CSFON,47,1,0,2,100.5,4707.1,0,4723.5,8.460517014222681
1215-FIGMP,60,1,0,0,89.9,5450.7,0,5394.0,8.593227877692234
0526-SXDJP,72,0,2,0,42.1,2962.0,0,3031.2000000000003,8.017043707647481
0557-ASKVU,18,1,1,1,54.4,957.1,0,979.1999999999999,6.887756632475447
5698-BQJOH,9,1,0,2,94.4,857.25,1,849.6,6.7459419828195335
5122-CYFXA,3,1,0,2,75.3,244.1,0,225.89999999999998,5.424509391785796
8627-ZYGSZ,47,1,1,2,78.9,3650.35,0,3708.3,8.21859845855403
3410-YOQBQ,31,1,2,3,79.2,2497.2,0,2455.2000000000003,7.806370719176284
3170-NMYVV,50,1,2,0,20.15,930.9,0,1007.4999999999999,6.916219357394266
7410-OIEDU,10,1,0,3,79.85,887.35,0,798.5,6.683986532274009
2273-QCKXA,1,1,0,3,49.05,49.05,0,49.05,3.9130225057612296
0731-EBJQB,52,1,1,2,20.4,1090.65,0,1060.8,6.967720860149571
1891-QRQSA,64,1,2,0,111.6,7099.0,0,7142.4,8.873944132467116
8028-PNXHQ,62,1,2,0,24.25,1424.6,0,1503.5,7.3162158960701
5630-AHZIL,3,1,0,0,64.5,177.4,0,193.5,5.270432163058501
2673-CXQEU,56,1,1,2,110.5,6139.5,0,6188.0,8.73052880173936
6416-JNVRK,46,1,1,1,55.65,2688.85,0,2559.9,7.848114038189992
5590-ZSKRV,8,1,0,3,54.65,482.25,0,437.2,6.082675427161366
0191-ZHSKZ,30,1,0,2,74.75,2111.3,0,2242.5,7.715792425416038
3887-PBQAO,45,1,1,1,25.9,1216.6,0,1165.5,7.061763091461485
5919-TMRGD,1,1,0,2,79.35,79.35,1,79.35,4.386392092183521
